,0,1,2,3,4,5,6,7,8,9
0,12.213642872978918,13.778303954312976,-2.399840405640499,3.617202040735794,11.656897320338548,-4.207521905673579,13.27240354028968,5.517068029949559,2.903395233725643,2.9571398300376526
1,17.781015498647438,17.452301829959424,-7.202841150173495,12.441057662718443,15.381857589882962,16.089728529361864,7.161381978141323,6.000411157951924,3.95563195455297,-4.13091265042363
2,2.328500904257866,10.488312148201258,5.504604920231772,-10.352617509927484,1.2865992834865136,10.468178074702799,2.9230111195352957,7.118486869613054,6.281868376843764,11.172201384972757
5,20.038099858143305,16.82718764924076,8.622512995532531,9.423351469400478,5.134820415019584,3.9380202096023975,12.434263423561667,5.082069637311207,4.723642307059788,5.9573093859279815
6,0.35701331553445925,2.252548714118121,7.730284641729744,-1.813340555328094,6.594165075323234,-4.64017087804743,10.155318532155007,6.497929808136645,4.3728700351319185,6.006927643006238
8,15.287276358216385,19.33123019409472,7.034872815927837,3.5287552789335095,10.22345936886557,0.3222475616416105,10.121438630717641,5.552334932892576,4.8720500187231535,-2.066475479016286
9,1.9443394444547177,16.49054484507137,-0.15609996414862426,14.416749858921904,4.952175389266966,10.132611751209584,11.780924970326506,6.18847272926355,5.904484152994879,-2.941585518046267
16,-3.7606762930243693,16.88861938743773,3.3424619771941253,7.1849312190531,12.883999937538661,2.578713710035368,1.4773897654224637,6.482217992867504,7.258671250364928,0.7720295126046316
17,10.632045772321874,2.1305525729877868,5.291963372366984,11.812988385188936,6.6888565896082435,-2.436926530694844,3.190066311002217,5.752426552904989,4.881406198021075,3.2834951200914335
19,-5.362029607563773,13.39095123025426,4.221794001006812,8.218577199692808,7.836995796178052,7.135155589398922,12.086210540272479,6.113668788194154,7.307056816423564,1.6122854044468153
20,15.8461848870253,15.631844786274382,7.512837818557797,13.052625562962001,19.910922121172636,2.2674815015632586,-2.0309034431260695,6.323042549151704,2.686481423777176,-3.3474366764393775
23,19.508730038678138,-2.615191056888108,13.179258575231362,12.583599639006135,17.568040876669084,7.399700068851033,5.958677721150328,6.003447336195863,4.5888551957935935,-1.7426395947543096
